date,1. open,2. high,3. low,4. close,5. volume
2021-04-19,272.3,272.92,268.8475,270.28,4235932.0
2021-04-20,268.53,269.31,266.801,267.89,3741695.0
2021-04-21,267.8,272.46,267.75,272.21,3897511.0
2021-04-22,272.04,272.08,268.78,269.51,3734218.0
2021-04-23,269.86,272.6906,269.56,271.98,3684487.0
2021-04-26,272.28,273.98,270.63,270.86,3577632.0
2021-04-27,271.07,274.16,270.05,273.65,3176319.0
2021-04-28,273.54,273.96,272.13,272.95,3176106.0
2021-04-29,274.47,277.79,274.35,277.6,4543724.0
2021-04-30,276.29,277.41,274.21,274.95,5213541.0
2021-05-03,278.55,281.12,277.67,279.18,5185658.0
2021-05-04,278.54,280.8,276.78,280.26,4467147.0
2021-05-05,282.52,283.5,282.23,282.76,3013873.0
2021-05-06,284.69,290.0,284.05,289.71,5965549.0
2021-05-07,289.97,291.07,287.77,290.93,6101832.0
2021-05-10,292.345,295.083,292.07,292.33,4542731.0
2021-05-11,289.84,290.51,284.29,285.63,6814899.0
2021-05-12,285.46,286.12,282.55,282.91,5313010.0
2021-05-13,282.91,288.37,282.85,286.9,5246624.0
2021-05-14,288.67,291.375,288.67,290.68,4263393.0
2021-05-17,289.99,290.47,288.07,289.22,3885487.0
2021-05-18,290.2,290.31,287.24,287.59,4361282.0
2021-05-19,284.11,286.56,282.57,286.22,5272133.0
2021-05-20,288.41,289.135,285.9,286.73,4143635.0
2021-05-21,287.12,289.35,286.75,287.74,4232598.0
2021-05-24,289.11,290.41,287.91,289.73,3947879.0
2021-05-25,290.19,291.6,287.11,287.2,4754083.0
2021-05-26,289.64,289.64,285.75,287.33,4756875.0
2021-05-27,288.57,289.99,286.57,289.3,6610596.0
2021-05-28,289.68,290.46,288.23,289.44,4522664.0
2021-06-01,291.52,292.07,288.81,289.84,3335983.0
2021-06-02,290.85,290.9,289.22,290.02,3517430.0
2021-06-03,288.36,293.272,288.28,291.97,4099941.0
2021-06-04,292.91,293.08,291.45,292.52,3273412.0
2021-06-07,292.56,292.58,288.84,289.46,4442470.0
2021-06-08,289.18,289.9,285.7,289.19,5036621.0
2021-06-09,288.88,289.09,287.05,288.58,3502842.0
