date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,233.31,233.98,231.7,233.03,5609241.0
2021-01-13,232.0,234.95,231.71,234.51,3828413.0
2021-01-14,234.79,235.7,233.8372,235.02,4530181.0
2021-01-15,234.1,234.59,231.91,233.49,5226415.0
2021-01-19,234.64,236.24,231.7,234.55,5503127.0
2021-01-20,234.0,235.2,233.24,234.76,4876514.0
2021-01-21,235.22,236.2,234.08,234.16,4319793.0
2021-01-22,232.5,233.83,232.21,232.92,4465090.0
2021-01-25,231.67,233.52,230.45,233.01,5098897.0
2021-01-26,233.0,233.5,231.33,231.57,3945915.0
2021-01-27,230.0,230.0,226.1,227.36,8230374.0
2021-01-28,229.76,233.51,228.16,230.95,5943918.0
2021-01-29,229.45,229.97,227.21,227.87,6388092.0
2021-02-01,229.9699,230.5,228.04,229.32,4068409.0
2021-02-02,231.21,233.43,230.665,232.24,5030932.0
2021-02-03,232.4,233.16,231.28,232.68,3807540.0
2021-02-04,232.84,235.905,232.41,235.77,4452386.0
2021-02-05,236.98,236.98,234.83,235.16,3812966.0
2021-02-08,236.0,237.56,235.35,237.42,3329703.0
2021-02-09,237.07,240.78,235.66,239.91,4766929.0
2021-02-10,241.43,241.52,239.04,239.92,3488816.0
2021-02-11,239.36,240.44,238.88,239.76,2909640.0
2021-02-12,238.07,242.76,238.03,242.46,3422107.0
2021-02-16,244.14,247.26,242.82,245.28,4726101.0
2021-02-17,244.14,246.19,244.0,245.25,3896102.0
2021-02-18,244.73,245.49,241.67,243.5,4049896.0
2021-02-19,244.2,244.95,241.36,241.85,4254656.0
2021-02-22,240.89,245.9801,240.8,244.97,3984488.0
2021-02-23,245.56,246.57,243.29,245.53,5455367.0
2021-02-24,245.15,249.55,245.15,248.45,5106898.0
2021-02-25,248.07,250.56,242.927,243.69,6375193.0
2021-02-26,245.15,245.15,240.25,240.51,7994696.0
2021-03-01,246.86,250.55,246.09,249.21,6334166.0
2021-03-02,249.12,251.34,248.37,249.22,4686124.0
2021-03-03,249.73,254.81,249.29,251.55,6093204.0
2021-03-04,251.08,252.55,243.23,245.48,7843543.0
2021-03-05,248.89,253.45,247.325,253.15,6401890.0
2021-03-08,255.6,260.23,253.73,257.61,7135779.0
2021-03-09,258.55,262.94,255.61,259.02,8276597.0
2021-03-10,260.3,267.5,259.64,263.99,8945700.0
2021-03-11,264.22,264.8,260.4199,260.91,5921549.0
2021-03-12,262.4,264.65,259.67,260.02,4498086.0
2021-03-15,260.31,260.44,253.52,254.61,6979049.0
2021-03-16,254.53,254.53,249.82,251.5,6720786.0
2021-03-17,252.02,254.28,250.6601,252.0,6775745.0
2021-03-18,253.76,255.64,251.38,252.46,5558018.0
2021-03-19,252.31,252.5,248.52,250.99,16649846.0
2021-03-22,250.6,251.67,248.86,250.36,5370835.0
2021-03-23,250.2,251.17,247.71,248.31,4624233.0
2021-03-24,249.55,251.89,248.5,249.63,4167843.0
2021-03-25,249.38,251.53,246.79,250.75,5505215.0
2021-03-26,252.75,257.39,252.42,256.77,5801970.0
2021-03-29,253.93,260.05,253.3,258.82,6643130.0
2021-03-30,259.94,261.0,257.24,258.19,3879346.0
2021-03-31,256.86,257.68,255.17,255.47,6580741.0
2021-04-01,255.74,258.47,254.8,258.2,5573842.0
2021-04-05,260.02,263.35,260.0,262.66,5050565.0
2021-04-06,262.86,263.34,261.94,263.06,3069093.0
2021-04-07,262.99,264.34,262.4003,263.62,3585586.0
2021-04-08,262.72,263.93,261.911,263.51,3113946.0
2021-04-09,264.22,266.24,263.35,266.01,6054022.0
2021-04-12,266.53,268.34,266.53,267.93,4294469.0
2021-04-13,267.42,268.2,266.05,267.1,3558493.0
2021-04-14,267.31,268.44,267.15,267.53,3124048.0
2021-04-15,268.06,269.28,266.3943,269.14,3921101.0
2021-04-16,270.47,272.97,270.11,272.11,4710925.0
2021-04-19,272.3,272.92,268.8475,270.28,4235932.0
2021-04-20,268.53,269.31,266.801,267.89,3741695.0
2021-04-21,267.8,272.46,267.75,272.21,3897511.0
2021-04-22,272.04,272.08,268.78,269.51,3734218.0
2021-04-23,269.86,272.6906,269.56,271.98,3684487.0
2021-04-26,272.28,273.98,270.63,270.86,3577632.0
2021-04-27,271.07,274.16,270.05,273.65,3176319.0
2021-04-28,273.54,273.96,272.13,272.95,3176106.0
2021-04-29,274.47,277.79,274.35,277.6,4543724.0
2021-04-30,276.29,277.41,274.21,274.95,5213541.0
2021-05-03,278.55,281.12,277.67,279.18,5185658.0
2021-05-04,278.54,280.8,276.78,280.26,4467147.0
2021-05-05,282.52,283.5,282.23,282.76,3013873.0
2021-05-06,284.69,290.0,284.05,289.71,5965549.0
2021-05-07,289.97,291.07,287.77,290.93,6101832.0
2021-05-10,292.345,295.083,292.07,292.33,4542731.0
2021-05-11,289.84,290.51,284.29,285.63,6814899.0
2021-05-12,285.46,286.12,282.55,282.91,5313010.0
2021-05-13,282.91,288.37,282.85,286.9,5246624.0
2021-05-14,288.67,291.375,288.67,290.68,4263393.0
2021-05-17,289.99,290.47,288.07,289.22,3885487.0
2021-05-18,290.2,290.31,287.24,287.59,4361282.0
2021-05-19,284.11,286.56,282.57,286.22,5272133.0
2021-05-20,288.41,289.135,285.9,286.73,4143635.0
2021-05-21,287.12,289.35,286.75,287.74,4232598.0
2021-05-24,289.11,290.41,287.91,289.73,3947879.0
2021-05-25,290.19,291.6,287.11,287.2,4754083.0
2021-05-26,289.64,289.64,285.75,287.33,4756875.0
2021-05-27,288.57,289.99,286.57,289.3,6610596.0
2021-05-28,289.68,290.46,288.23,289.44,4522664.0
2021-06-01,291.52,292.07,288.81,289.84,3335983.0
2021-06-02,290.85,290.9,289.22,290.02,3517430.0
2021-06-03,288.36,293.272,288.28,291.97,4099941.0
2021-06-04,292.91,293.08,291.45,292.52,3273412.0
