date,1. open,2. high,3. low,4. close,5. volume
2020-07-21,396.69,397.0,386.97,388.0,25627347.0
2020-07-22,386.77,391.9,386.41,389.09,22250413.0
2020-07-23,387.9935,388.31,368.039,371.38,49251108.0
2020-07-24,363.95,371.88,356.58,370.46,46359716.0
2020-07-27,374.84,379.62,373.92,379.24,30303548.0
2020-07-28,377.47,378.1986,372.99,373.01,25906375.0
2020-07-29,375.0,380.92,374.85,380.16,22582314.0
2020-07-30,376.75,385.19,375.07,384.76,39532505.0
2020-07-31,411.535,425.66,403.3,425.04,93573867.0
2020-08-03,432.8,446.5457,431.57,435.75,77037847.0
2020-08-04,436.53,443.16,433.55,438.66,43198092.0
2020-08-05,437.51,441.57,435.59,440.25,30497988.0
2020-08-06,441.62,457.65,439.19,455.61,50607225.0
2020-08-07,452.82,454.7,441.17,444.45,49511403.0
2020-08-10,450.4,455.1,440.0,450.91,53100856.0
2020-08-11,447.875,449.93,436.4267,437.5,46975594.0
2020-08-12,441.99,453.1,441.19,452.04,41486205.0
2020-08-13,457.72,464.17,455.71,460.04,52520516.0
2020-08-14,459.315,460.0,452.18,459.63,41391302.0
2020-08-17,464.25,464.35,455.8501,458.43,29431414.0
2020-08-18,457.41,464.0,456.03,462.25,26408385.0
2020-08-19,463.933,468.65,462.44,462.83,36384502.0
2020-08-20,463.0,473.568,462.9335,473.1,31726797.0
2020-08-21,477.05,499.472,477.0,497.48,84513660.0
2020-08-24,514.79,515.14,495.745,503.43,86484442.0
2020-08-25,498.79,500.7172,492.21,499.3,52873947.0
2020-08-26,504.7165,507.97,500.33,506.09,40755567.0
2020-08-27,508.57,509.94,495.33,500.04,38888096.0
2020-08-28,504.05,505.77,498.31,499.23,46907479.0
2020-08-31,127.58,131.0,126.0,129.04,223505733.0
2020-09-01,132.76,134.8,130.53,134.18,152470142.0
2020-09-02,137.59,137.98,127.0,131.4,200118991.0
2020-09-03,126.91,128.84,120.5,120.88,257599640.0
2020-09-04,120.07,123.7,110.89,120.96,332607163.0
2020-09-08,113.95,118.99,112.68,112.82,231366563.0
2020-09-09,117.26,119.14,115.26,117.32,176940455.0
2020-09-10,120.36,120.5,112.5,113.49,182274391.0
2020-09-11,114.57,115.23,110.0,112.0,180860325.0
2020-09-14,114.72,115.93,112.8,115.355,140150087.0
2020-09-15,118.33,118.829,113.61,115.54,184642039.0
2020-09-16,115.23,116.0,112.04,112.13,155026675.0
2020-09-17,109.72,112.2,108.71,110.34,178010968.0
2020-09-18,110.4,110.88,106.09,106.84,287104882.0
2020-09-21,104.54,110.19,103.1,110.08,195713815.0
2020-09-22,112.68,112.86,109.16,111.81,183055373.0
2020-09-23,111.62,112.11,106.77,107.12,150718671.0
2020-09-24,105.17,110.25,105.0,108.22,167743349.0
2020-09-25,108.43,112.44,107.67,112.28,149981441.0
2020-09-28,115.01,115.32,112.78,114.96,137672403.0
2020-09-29,114.55,115.31,113.57,114.09,100060526.0
2020-09-30,113.79,117.26,113.62,115.81,142675184.0
2020-10-01,117.64,117.72,115.83,116.79,116120440.0
2020-10-02,112.89,115.37,112.22,113.02,144711986.0
2020-10-05,113.91,116.65,113.55,116.5,106243839.0
2020-10-06,115.7,116.12,112.25,113.16,161498212.0
2020-10-07,114.62,115.55,114.13,115.08,96848985.0
2020-10-08,116.25,116.4,114.5901,114.97,83477153.0
2020-10-09,115.28,117.0,114.92,116.97,100506865.0
2020-10-12,120.06,125.18,119.2845,124.4,240226769.0
2020-10-13,125.27,125.39,119.65,121.1,262330451.0
2020-10-14,121.0,123.03,119.62,121.19,151062308.0
2020-10-15,118.72,121.2,118.15,120.71,112559219.0
2020-10-16,121.28,121.548,118.81,119.02,115393808.0
2020-10-19,119.96,120.419,115.66,115.98,120639337.0
2020-10-20,116.2,118.98,115.63,117.51,124423728.0
2020-10-21,116.67,118.705,116.45,116.87,89945980.0
2020-10-22,117.45,118.04,114.59,115.75,101987954.0
2020-10-23,116.39,116.55,114.28,115.04,82572645.0
2020-10-26,114.01,116.55,112.88,115.05,111850657.0
2020-10-27,115.49,117.28,114.5399,116.6,92276772.0
2020-10-28,115.05,115.43,111.1,111.2,143937823.0
2020-10-29,112.37,116.93,112.2,115.32,146129173.0
2020-10-30,111.06,111.99,107.72,108.86,190573476.0
2020-11-02,109.11,110.68,107.32,108.77,122866899.0
2020-11-03,109.66,111.49,108.73,110.44,107624448.0
2020-11-04,114.14,115.59,112.35,114.95,138235482.0
2020-11-05,117.95,119.62,116.8686,119.03,126387074.0
2020-11-06,118.32,119.2,116.13,118.69,114457922.0
2020-11-09,120.5,121.99,116.05,116.32,154515315.0
2020-11-10,115.55,117.59,114.13,115.97,138023390.0
2020-11-11,117.19,119.63,116.44,119.49,112294954.0
2020-11-12,119.62,120.53,118.57,119.21,103350674.0
2020-11-13,119.44,119.6717,117.87,119.26,81688586.0
2020-11-16,118.92,120.99,118.146,120.3,91183018.0
2020-11-17,119.55,120.6741,118.96,119.39,74270973.0
2020-11-18,118.61,119.82,118.0,118.03,76322111.0
2020-11-19,117.59,119.06,116.81,118.64,74112972.0
2020-11-20,118.64,118.77,117.29,117.34,73604287.0
2020-11-23,117.18,117.6202,113.75,113.85,127959318.0
2020-11-24,113.91,115.85,112.59,115.17,113226248.0
2020-11-25,115.55,116.75,115.17,116.03,76499234.0
2020-11-27,116.57,117.49,116.22,116.59,46691331.0
2020-11-30,116.97,120.97,116.81,119.05,169410176.0
2020-12-01,121.01,123.4693,120.01,122.72,125920963.0
2020-12-02,122.02,123.37,120.89,123.08,89004195.0
2020-12-03,123.52,123.78,122.21,122.94,78967630.0
2020-12-04,122.6,122.8608,121.52,122.25,78260421.0
2020-12-07,122.31,124.57,122.25,123.75,86711990.0
2020-12-08,124.37,124.98,123.09,124.38,82225512.0
