date,1. open,2. high,3. low,4. close,5. volume
2021-05-06,127.89,129.75,127.13,129.74,78128334.0
2021-05-07,130.85,131.2582,129.475,130.21,78973273.0
2021-05-10,129.41,129.54,126.81,126.85,88071229.0
2021-05-11,123.5,126.27,122.77,125.91,126142826.0
2021-05-12,123.4,124.64,122.25,122.77,112172282.0
2021-05-13,124.58,126.15,124.26,124.97,105861339.0
2021-05-14,126.25,127.89,125.85,127.45,81917951.0
2021-05-17,126.82,126.93,125.17,126.27,74244624.0
2021-05-18,126.56,126.99,124.78,124.85,63342929.0
2021-05-19,123.16,124.915,122.86,124.69,92611989.0
2021-05-20,125.23,127.72,125.1,127.31,76857123.0
2021-05-21,127.82,128.0,125.21,125.43,79295436.0
2021-05-24,126.01,127.94,125.94,127.1,63092945.0
2021-05-25,127.82,128.32,126.32,126.9,72009482.0
2021-05-26,126.955,127.39,126.42,126.85,56575920.0
2021-05-27,126.44,127.64,125.08,125.28,94625601.0
2021-05-28,125.57,125.8,124.55,124.61,71311109.0
2021-06-01,125.08,125.35,123.94,124.28,67637118.0
2021-06-02,124.28,125.24,124.05,125.06,59278862.0
2021-06-03,124.68,124.85,123.13,123.54,76229170.0
2021-06-04,124.07,126.16,123.85,125.89,75169343.0
2021-06-07,126.17,126.32,124.8321,125.9,71057550.0
2021-06-08,126.6,128.46,126.2101,126.74,74403774.0
2021-06-09,127.21,127.75,126.52,127.13,56877937.0
2021-06-10,127.02,128.19,125.94,126.11,71186421.0
2021-06-11,126.53,127.44,126.1,127.35,53522373.0
2021-06-14,127.82,130.54,127.07,130.48,96906490.0
2021-06-15,129.94,130.6,129.39,129.64,62746332.0
2021-06-16,130.37,130.89,128.461,130.15,91339351.0
2021-06-17,129.8,132.55,129.65,131.79,96721669.0
2021-06-18,130.71,131.51,130.24,130.46,108953309.0
2021-06-21,130.3,132.41,129.21,132.3,79663316.0
2021-06-22,132.13,134.08,131.62,133.98,74783618.0
2021-06-23,133.77,134.32,133.23,133.7,60214200.0
2021-06-24,134.45,134.64,132.93,133.41,68710998.0
2021-06-25,133.46,133.89,132.81,133.11,70783746.0
2021-06-28,133.41,135.245,133.35,134.78,62111303.0
2021-06-29,134.8,136.49,134.35,136.33,64556081.0
2021-06-30,136.17,137.41,135.87,136.96,63261393.0
2021-07-01,136.6,137.33,135.76,137.27,52485781.0
2021-07-02,137.9,140.0,137.745,139.96,78945572.0
2021-07-06,140.07,143.15,140.07,142.02,108181793.0
2021-07-07,143.535,144.89,142.66,144.57,104911589.0
2021-07-08,141.58,144.06,140.665,143.24,105575458.0
2021-07-09,142.75,145.65,142.6522,145.11,99890800.0
2021-07-12,146.21,146.32,144.0,144.5,76299719.0
2021-07-13,144.03,147.46,143.63,145.64,100827099.0
2021-07-14,148.1,149.57,147.68,149.15,127050785.0
2021-07-15,149.24,150.0,147.09,148.48,106820297.0
2021-07-16,148.46,149.76,145.88,146.39,93251426.0
2021-07-19,143.75,144.07,141.67,142.45,121434571.0
2021-07-20,143.46,147.0997,142.96,146.15,96350036.0
2021-07-21,145.53,146.13,144.63,145.4,74993460.0
2021-07-22,145.935,148.195,145.81,146.8,77338156.0
2021-07-23,147.55,148.7177,146.92,148.56,71447416.0
2021-07-26,148.27,149.83,147.7,148.99,72434089.0
2021-07-27,149.12,149.21,145.55,146.77,104818578.0
2021-07-28,144.81,146.97,142.54,144.98,118931191.0
2021-07-29,144.685,146.55,144.58,145.64,54323047.0
2021-07-30,144.38,146.33,144.11,145.86,70440626.0
2021-08-02,146.36,146.95,145.25,145.52,62879961.0
2021-08-03,145.81,148.045,145.18,147.36,64786618.0
2021-08-04,147.27,147.79,146.28,146.95,56368271.0
2021-08-05,146.98,147.84,146.17,147.06,46397674.0
