date,1. open,2. high,3. low,4. close,5. volume
2021-03-10,3098.45,3116.46,3030.05,3057.64,3012489.0
2021-03-11,3104.01,3131.7843,3082.93,3113.59,2776391.0
2021-03-12,3075.0,3098.98,3045.5,3089.49,2421888.0
2021-03-15,3074.57,3082.24,3032.09,3081.68,2918592.0
2021-03-16,3104.97,3128.91,3075.8601,3091.86,2538764.0
2021-03-17,3073.22,3173.05,3070.22,3135.73,3118584.0
2021-03-18,3101.0,3116.63,3025.0,3027.99,3657027.0
2021-03-19,3029.23,3077.285,3016.63,3074.96,4625354.0
2021-03-22,3067.85,3126.58,3060.05,3110.87,2902179.0
2021-03-23,3127.0,3182.0,3120.8501,3137.5,3817263.0
2021-03-24,3151.04,3160.31,3085.15,3087.07,2958981.0
2021-03-25,3072.99,3109.78,3037.14,3046.26,3563469.0
2021-03-26,3044.06,3056.66,2996.0,3052.03,3312924.0
2021-03-29,3055.4394,3091.25,3028.445,3075.73,2745968.0
2021-03-30,3070.01,3073.0,3034.0,3055.29,2337603.0
2021-03-31,3064.06,3119.33,3062.5,3094.08,3093896.0
2021-04-01,3117.94,3162.44,3115.55,3161.0,2940318.0
2021-04-05,3173.0,3235.955,3161.24,3226.73,3334882.0
2021-04-06,3223.75,3247.31,3217.04,3223.82,2537809.0
2021-04-07,3233.8,3303.6125,3223.65,3279.39,3346227.0
2021-04-08,3310.9,3324.5,3292.0,3299.3,2812090.0
2021-04-09,3304.7,3372.2,3288.9,3372.2,4341473.0
2021-04-12,3355.21,3395.04,3351.15,3379.39,3281798.0
2021-04-13,3400.845,3432.0,3395.63,3400.0,3315837.0
2021-04-14,3404.04,3404.13,3326.0,3333.0,3145204.0
2021-04-15,3371.0,3396.9999,3352.0,3379.09,3233580.0
2021-04-16,3380.0,3406.8,3355.59,3399.44,3186049.0
2021-04-19,3390.33,3435.9333,3360.16,3372.01,2725405.0
2021-04-20,3373.6,3382.99,3316.0,3334.69,2623032.0
2021-04-21,3316.0,3362.86,3303.8061,3362.02,2211166.0
2021-04-22,3371.68,3372.87,3301.45,3309.04,2580590.0
2021-04-23,3319.1,3375.0,3308.5,3340.88,3196652.0
2021-04-26,3348.0,3428.45,3330.94,3409.0,4880708.0
2021-04-27,3443.47,3460.0,3398.01,3417.43,3827140.0
2021-04-28,3434.8,3489.88,3425.0,3458.5,4631884.0
2021-04-29,3505.0981,3514.445,3435.0,3471.31,7682381.0
2021-04-30,3525.12,3554.0,3462.5,3467.42,7009346.0
2021-05-03,3484.73,3486.645,3372.7012,3386.49,5875530.0
2021-05-04,3356.19,3367.975,3272.13,3311.87,5439449.0
2021-05-05,3338.855,3354.695,3264.36,3270.54,3711308.0
2021-05-06,3270.0,3314.4,3247.2,3306.37,4447696.0
2021-05-07,3319.09,3330.89,3289.0704,3291.61,4710276.0
2021-05-10,3282.32,3283.0,3190.0,3190.49,5838603.0
2021-05-11,3136.28,3238.0,3127.37,3223.91,4619781.0
2021-05-12,3185.0,3207.94,3133.1,3151.94,4936410.0
2021-05-13,3185.47,3203.84,3133.0,3161.47,3356877.0
2021-05-14,3185.56,3228.86,3183.0,3222.9,3325022.0
2021-05-17,3245.93,3292.75,3234.59,3270.39,3723925.0
2021-05-18,3292.575,3312.0,3230.37,3232.28,2828391.0
2021-05-19,3195.0,3234.75,3184.0,3231.8,2679708.0
2021-05-20,3244.4042,3259.6799,3236.18,3247.68,2633192.0
2021-05-21,3250.0,3256.6946,3197.01,3203.08,4104882.0
2021-05-24,3215.5,3257.95,3210.4993,3244.99,2422813.0
2021-05-25,3266.67,3279.82,3213.76,3259.05,3261109.0
2021-05-26,3274.5905,3295.73,3258.51,3265.16,2383986.0
2021-05-27,3256.0,3260.355,3230.04,3230.11,2561157.0
2021-05-28,3242.0,3247.99,3219.7,3223.07,2331509.0
2021-06-01,3243.495,3250.98,3209.06,3218.65,2430045.0
2021-06-02,3223.1,3235.0,3208.0,3233.99,2014524.0
2021-06-03,3204.23,3214.435,3184.03,3187.01,2398293.0
2021-06-04,3212.0,3221.0,3198.81,3206.22,2249749.0
2021-06-07,3197.33,3208.0,3172.2,3198.01,2215756.0
2021-06-08,3222.61,3279.5321,3218.01,3264.11,3416730.0
2021-06-09,3272.87,3297.58,3270.7,3281.15,2455530.0
2021-06-10,3282.01,3351.0,3281.15,3349.65,3476480.0
2021-06-11,3349.65,3366.58,3333.45,3346.83,2817352.0
2021-06-14,3346.83,3385.0,3335.5,3383.87,2569655.0
2021-06-15,3384.0,3396.9866,3363.1101,3383.13,2426200.0
2021-06-16,3392.0,3426.35,3360.53,3415.25,4152189.0
2021-06-17,3403.18,3497.2,3401.0,3489.24,5136531.0
2021-06-18,3479.99,3507.0,3473.71,3486.9,5247737.0
2021-06-21,3476.42,3482.0,3434.0,3453.96,3277130.0
2021-06-22,3458.06,3523.78,3456.09,3505.44,3345082.0
2021-06-23,3505.0,3521.0,3483.2,3503.82,2813341.0
2021-06-24,3507.64,3524.8599,3430.85,3449.08,3831999.0
2021-06-25,3464.0,3464.82,3394.18,3401.46,3940997.0
2021-06-28,3416.0,3448.0,3413.5098,3443.89,2242793.0
2021-06-29,3438.82,3456.03,3423.03,3448.14,2098439.0
2021-06-30,3441.06,3471.6019,3435.0,3440.16,2403992.0
2021-07-01,3434.61,3457.0,3409.4206,3432.97,2037053.0
2021-07-02,3451.64,3511.72,3436.92,3510.98,3176697.0
2021-07-06,3530.11,3685.48,3529.0,3675.74,6744768.0
2021-07-07,3717.3772,3734.2,3678.91,3696.58,5328062.0
2021-07-08,3643.56,3759.9855,3621.12,3731.41,5180623.0
2021-07-09,3722.52,3748.0,3693.3968,3719.34,3748237.0
2021-07-12,3744.0,3757.2899,3696.7929,3718.55,2571635.0
2021-07-13,3702.1,3773.0782,3671.32,3677.36,3845917.0
2021-07-14,3708.85,3717.66,3660.8266,3681.68,3296568.0
2021-07-15,3694.2,3695.4,3620.92,3631.2,3185292.0
2021-07-16,3633.31,3646.0599,3570.455,3573.63,4043706.0
2021-07-19,3532.58,3550.21,3499.16,3549.59,3784595.0
2021-07-20,3567.32,3592.0,3518.0,3573.19,3255680.0
2021-07-21,3576.375,3586.45,3543.6415,3585.2,2318989.0
2021-07-22,3587.23,3640.02,3582.27,3638.03,3265352.0
2021-07-23,3640.0,3666.11,3622.04,3656.64,2436292.0
2021-07-26,3673.17,3712.08,3647.25,3699.82,2900068.0
2021-07-27,3698.5,3698.5,3586.15,3626.39,4131890.0
2021-07-28,3633.78,3658.4204,3601.0,3630.32,2999378.0
