date,1. open,2. high,3. low,4. close,5. volume
2021-02-16,166.58,167.05,164.64,165.07,5656092.0
2021-02-17,164.97,166.09,164.36,165.66,6544123.0
2021-02-18,164.96,166.16,164.3,165.74,5191590.0
2021-02-19,165.6,165.96,162.91,162.98,8190883.0
2021-02-22,161.87,162.54,160.29,161.87,6437132.0
2021-02-23,161.48,163.19,160.4,160.44,7042829.0
2021-02-24,162.4,164.39,160.92,162.59,10286107.0
2021-02-25,163.13,163.7,161.99,162.76,9691987.0
2021-02-26,162.0,162.41,157.97,158.46,13978333.0
2021-03-01,161.45,161.53,159.09,159.32,10551378.0
2021-03-02,159.78,160.78,158.6,159.02,7610885.0
2021-03-03,158.25,158.9,156.0604,156.22,8499626.0
2021-03-04,155.99,156.1,151.47,153.07,11033178.0
2021-03-05,153.98,156.69,153.13,156.1,8331633.0
2021-03-08,157.0,159.33,155.98,157.4,6546688.0
2021-03-09,156.89,160.75,156.89,157.7,7461267.0
2021-03-10,158.82,159.895,157.36,159.15,6635577.0
2021-03-11,159.54,160.63,158.92,159.14,6305584.0
2021-03-12,159.28,160.31,159.19,159.6,5474849.0
2021-03-15,159.75,160.66,158.5,160.42,5526008.0
2021-03-16,160.46,161.68,160.24,161.37,6369144.0
2021-03-17,160.83,161.73,159.53,160.77,6001421.0
2021-03-18,160.21,161.49,159.96,160.47,4801794.0
2021-03-19,160.69,161.5,159.47,160.04,14891523.0
2021-03-22,158.31,160.65,158.0,160.5,7544052.0
2021-03-23,160.21,161.2004,158.88,160.35,7178323.0
2021-03-24,160.1,162.48,159.82,161.91,6370143.0
2021-03-25,162.44,162.45,160.64,161.97,6269774.0
2021-03-26,162.09,165.1,161.38,164.93,7619247.0
2021-03-29,163.83,167.03,163.6314,166.04,8535084.0
2021-03-30,165.02,165.66,164.23,165.01,7236347.0
2021-03-31,164.96,165.39,163.7,164.35,8281521.0
2021-04-01,162.6,163.84,162.26,162.83,7229717.0
2021-04-05,163.64,164.75,162.66,163.43,7387123.0
2021-04-06,164.08,164.52,163.0,163.39,5074239.0
2021-04-07,163.55,164.28,163.316,163.61,4608010.0
2021-04-08,164.0,164.1116,162.85,162.97,5039397.0
2021-04-09,162.12,162.93,159.78,161.25,8418332.0
2021-04-12,161.09,162.08,160.34,161.64,5023037.0
2021-04-13,156.86,159.93,156.53,159.48,18424075.0
2021-04-14,157.83,160.11,157.54,159.92,7718321.0
2021-04-15,160.72,162.39,160.23,160.39,7524568.0
2021-04-16,161.34,162.51,160.56,162.24,9049432.0
2021-04-19,162.5,163.11,160.84,162.69,8353528.0
2021-04-20,161.0,167.7899,161.0,166.48,14050663.0
2021-04-21,166.37,166.91,165.29,166.59,6333210.0
2021-04-22,165.836,166.28,164.62,165.18,7232981.0
2021-04-23,164.53,166.06,163.9996,165.52,6033245.0
2021-04-26,165.21,165.41,163.76,164.12,6027788.0
2021-04-27,163.76,163.91,162.47,163.18,6217651.0
2021-04-28,162.86,163.2,161.65,161.98,7448016.0
2021-04-29,161.9,164.26,161.81,164.2,6394287.0
2021-04-30,164.15,164.33,162.52,162.73,9079081.0
2021-05-03,163.6,165.32,163.12,165.21,6594230.0
2021-05-04,164.83,167.85,164.67,167.77,10179539.0
2021-05-05,167.5,167.5,166.81,167.07,5134587.0
2021-05-06,166.79,167.885,166.24,167.74,5529946.0
2021-05-07,168.3,169.18,167.83,168.5,5316209.0
2021-05-10,169.9,171.53,169.23,170.27,8357486.0
2021-05-11,170.65,170.87,168.28,168.88,8217953.0
2021-05-12,168.54,169.8,167.95,168.2,6758316.0
2021-05-13,166.97,170.7,166.97,169.96,8018910.0
2021-05-14,171.48,171.61,170.17,170.22,5797704.0
2021-05-17,170.4,171.89,170.305,170.39,5722638.0
2021-05-18,169.98,171.365,169.53,170.45,5845985.0
2021-05-19,169.91,170.16,168.0354,170.08,5533788.0
2021-05-20,169.94,171.59,169.69,171.07,4853192.0
2021-05-21,171.33,172.74,170.87,170.96,6501751.0
2021-05-24,170.9,171.35,169.77,170.55,5195384.0
2021-05-25,170.67,171.03,169.74,170.08,7444857.0
2021-05-26,170.0,170.08,168.28,169.07,5726683.0
2021-05-27,169.26,170.17,168.38,168.81,8114708.0
2021-05-28,169.52,171.005,169.17,169.25,6401011.0
2021-06-01,170.15,170.2,165.38,165.53,10448370.0
2021-06-02,165.3,166.725,165.11,166.2,6806032.0
2021-06-03,165.89,167.15,165.705,166.04,5809122.0
2021-06-04,167.005,167.565,165.87,165.97,6510480.0
2021-06-07,166.0,166.32,164.6317,164.84,5362781.0
2021-06-08,165.28,165.66,162.07,163.39,7746805.0
2021-06-09,163.99,165.78,163.66,165.59,5552600.0
2021-06-10,166.0,167.575,165.95,167.08,6463322.0
2021-06-11,167.07,167.08,164.22,164.96,7389922.0
2021-06-14,164.5,165.46,163.9,165.37,4931297.0
2021-06-15,165.23,165.86,164.39,164.49,5063027.0
2021-06-16,164.8,165.75,163.4801,164.43,6979939.0
2021-06-17,164.19,165.7,163.5,165.22,5874962.0
2021-06-18,163.27,164.19,161.79,161.98,12993018.0
2021-06-21,162.77,164.255,162.25,163.84,6592400.0
2021-06-22,163.71,164.04,163.28,163.62,5627795.0
2021-06-23,163.69,163.69,162.48,162.63,4493351.0
2021-06-24,163.27,164.2,162.8,163.37,4549234.0
2021-06-25,162.94,164.78,162.89,164.21,10963806.0
2021-06-28,164.44,165.07,163.52,164.02,5604009.0
2021-06-29,164.0,164.64,163.41,164.03,3749744.0
2021-06-30,164.0,164.97,163.67,164.74,6151745.0
2021-07-01,164.74,166.01,164.63,165.96,6320173.0
2021-07-02,166.02,169.3,165.64,168.98,9060270.0
2021-07-06,167.91,168.86,166.99,167.97,6098526.0
2021-07-07,167.48,169.5,167.48,169.41,6293581.0
2021-07-08,168.7,169.46,167.58,169.08,5755679.0
